255,254,1,Lemon Yellow
57,116,196,Cerulean Blue Hue
239,230,191,Pale Lemon
241,193,171,Flesh Tint
251,209,22,Transparent Yellow
254,241,92,Cadmium Yellow Pale
177,168,217,Pale violet
244,142,37,Cadmium Orange
252,223,27,Cadmium Yellow Medium
248,158,51,Cadmium Yellow Deep
235,61,41,Cadmium Red
239,73,39,Vermillion
221,20,60,Crimson
71,30,40,Burgandy
175,24,49,Permanent Alizarin Crimson
193,2,78,Permanent Rose
233,55,91,Opera Rose
135,2,91,Permanent Magenta
32,27,34,Winsor Violet
18,69,110,Deep Turquoise
30,80,159,Phthalo Blue
31,94,172,Cobalt Blue
154,181,217,Powder Blue
51,19,95,Winsor Blue
10,47,73,Prussian Blue
11,29,42,Phthalo Green
51,162,99,Permanent Green Light
28,101,64,Permanent Green Middle
49,157,67,Permanent Green Deep
14,59,111,Ultramarine
61,94,56,Sap Green
85,115,45,Green Gold
135,137,5,Olive Green
124,162,131,Pale Olive
15,53,28,Hookers Green
252,226,186,Buff Titanium
213,167,100,Naples Yellow
192,142,53,Yellow Ochre
153,89,4,Raw Sienna
153,81,35,Raw Sienna Opaque
208,77,31,Burnt Sienna
97,42,27,Burnt Sienna Opaque
113,75,55,Vandyke Brown
99,58,18,Burnt Umber
214,161,130,Pale Terracotta
117,40,41,Red Ochre
183,170,160,Pale Umber
91,71,34,Raw Umber
93,114,131,Paynes Grey
30,30,30,Mars Black
43,43,40,Ivory Black
34,34,38,Lamp Black
255,255,255,Titanium White
234,233,229,Mixing White
207,114,46,Copper
212,159,23,Metallic Gold
192,192,192,Metallic Silver
32,107,174,Process Cyan
201,31,76,Process Magenta
251,216,38,Process Yellow
